event_date,event_name,category,description
1990-08-02,Iraq invades Kuwait,geopolitical_conflict,Iraqi invasion of Kuwait triggers the Gulf War and a sharp oil supply shock
1997-07-02,Asian Financial Crisis begins,economic_shock,Currency collapse across Southeast Asia sharply reduces regional oil demand
2001-09-11,September 11 attacks,geopolitical_conflict,Terrorist attacks in the US create short-term market shock and long-term Middle East uncertainty
2003-03-20,US invasion of Iraq,geopolitical_conflict,US-led invasion of Iraq disrupts regional oil production and raises supply risk premium
2008-07-11,Oil prices peak above $147,market_extreme,Brent crude reaches an all-time high driven by demand growth and speculative activity
2008-09-15,Lehman Brothers collapse,economic_shock,Global financial crisis triggers a collapse in oil demand and prices
2011-02-15,Arab Spring unrest spreads,geopolitical_conflict,"Political uprisings across MENA region, including Libya, disrupt oil production"
2014-06-01,OPEC maintains output amid oversupply,opec_policy,"OPEC declines to cut production despite falling prices, accelerating a price collapse"
2014-11-27,OPEC refuses production cut,opec_policy,"OPEC meeting in Vienna results in no output cut, deepening the 2014-2016 price crash"
2016-01-16,Iran sanctions lifted,geopolitical_conflict,"International sanctions on Iran lifted after nuclear deal, increasing global oil supply"
2016-11-30,OPEC agrees to first cut since 2008,opec_policy,OPEC and non-OPEC producers agree to coordinated production cuts to support prices
2018-05-08,US withdraws from Iran nuclear deal,geopolitical_conflict,"US reimposes sanctions on Iran, tightening global oil supply expectations"
2020-03-08,Saudi Arabia-Russia price war begins,opec_policy,"OPEC+ talks collapse and Saudi Arabia launches a price war, flooding the market"
2020-04-20,US oil futures turn negative,market_extreme,"COVID-19 demand collapse, combined with a storage shortage, drives WTI futures below zero"
2022-02-24,Russia invades Ukraine,geopolitical_conflict,Russian invasion of Ukraine triggers sanctions and fears of major supply disruption
2022-10-05,OPEC+ announces large production cut,opec_policy,OPEC+ agrees to cut output by 2 million barrels per day to support falling prices
